chart	file	width	height	units
pooled_plot	mart1259_verbal/pooled/mart1259_verbal_pooled_plot.pdf	32.3290909090909	8.4	cm
pooled_domainplot	mart1259_verbal/pooled/mart1259_verbal_pooled_domainplot.pdf	32.3290909090909	8.4	cm
pooled_plot_indeterminate	mart1259_verbal/pooled/mart1259_verbal_pooled_plot_indeterminate.pdf	30.6818181818182	7	cm
pooled_plot_indeterminate_global_layers	mart1259_verbal/pooled/mart1259_verbal_pooled_plot_indeterminate_global_layers.pdf	30.6818181818182	7	cm
pooled_plot_morphosyntactic	mart1259_verbal/pooled/mart1259_verbal_pooled_plot_morphosyntactic.pdf	31.1018181818182	7	cm
pooled_plot_morphosyntactic_global_layers	mart1259_verbal/pooled/mart1259_verbal_pooled_plot_morphosyntactic_global_layers.pdf	31.1018181818182	7	cm
pooled_plot_phonological	mart1259_verbal/pooled/mart1259_verbal_pooled_plot_phonological.pdf	30.6818181818182	7	cm
pooled_plot_phonological_global_layers	mart1259_verbal/pooled/mart1259_verbal_pooled_plot_phonological_global_layers.pdf	30.6818181818182	7	cm
boundary_skyline	mart1259_verbal/boundaries/mart1259_verbal_boundary_skyline.pdf	19.6363636363636	11	in
spanchart	mart1259_verbal/laminar-families/mart1259_verbal_spanchart.pdf	17.1818181818182	8	in
morsyn_laminar_forest	mart1259_verbal/laminar-families/mart1259_verbal_morsyn_laminar_forest.pdf	24.5454545454545	14	in
morsyn_tree_01	mart1259_verbal/laminar-families/mart1259_verbal_morsyn_tree_01.pdf	14.7272727272727	8	in
morsyn_tree_02	mart1259_verbal/laminar-families/mart1259_verbal_morsyn_tree_02.pdf	14.7272727272727	8	in
phon_laminar_forest	mart1259_verbal/laminar-families/mart1259_verbal_phon_laminar_forest.pdf	24.5454545454545	14	in
phon_tree_01	mart1259_verbal/laminar-families/mart1259_verbal_phon_tree_01.pdf	14.7272727272727	8	in
indet_laminar_forest	mart1259_verbal/laminar-families/mart1259_verbal_indet_laminar_forest.pdf	24.5454545454545	14	in
indet_tree_01	mart1259_verbal/laminar-families/mart1259_verbal_indet_tree_01.pdf	14.7272727272727	8	in
morsyn_indet_laminar_forest	mart1259_verbal/laminar-families/mart1259_verbal_morsyn_indet_laminar_forest.pdf	24.5454545454545	14	in
morsyn_indet_tree_01	mart1259_verbal/laminar-families/mart1259_verbal_morsyn_indet_tree_01.pdf	14.7272727272727	8	in
morsyn_indet_tree_02	mart1259_verbal/laminar-families/mart1259_verbal_morsyn_indet_tree_02.pdf	14.7272727272727	8	in
morsyn_indet_tree_03	mart1259_verbal/laminar-families/mart1259_verbal_morsyn_indet_tree_03.pdf	14.7272727272727	8	in
morsyn_indet_tree_04	mart1259_verbal/laminar-families/mart1259_verbal_morsyn_indet_tree_04.pdf	14.7272727272727	8	in
laminar_overlay	mart1259_verbal/laminar-families/mart1259_verbal_laminar_overlay.pdf	24.5454545454545	14	in
laminar_overlay_legend	mart1259_verbal/laminar-families/mart1259_verbal_laminar_overlay_legend.pdf	24.5454545454545	14	in
all_families_labeled	mart1259_verbal/laminar-families/mart1259_verbal_all_families_labeled.pdf	24.5454545454545	14	in
all_families_labeled_legend	mart1259_verbal/laminar-families/mart1259_verbal_all_families_labeled_legend.pdf	24.5454545454545	14	in
freqtree	mart1259_verbal/laminar-families/mart1259_verbal_freqtree.pdf	19.6363636363636	10	in
most_binary_tree	mart1259_verbal/laminar-families/mart1259_verbal_most_binary_tree.pdf	19.6363636363636	10	in
exemplary_trees_1	mart1259_verbal/laminar-families/mart1259_verbal_exemplary_trees_1.pdf	93.7	17.53	cm
exemplary_trees_slide_1_tree	mart1259_verbal/laminar-families/mart1259_verbal_exemplary_trees_slide_1_tree.pdf	16.3632272727273	7.5	in
exemplary_trees_slide_1_evidence	mart1259_verbal/laminar-families/mart1259_verbal_exemplary_trees_slide_1_evidence.pdf	31.1018181818182	7	cm
exemplary_trees_2	mart1259_verbal/laminar-families/mart1259_verbal_exemplary_trees_2.pdf	93.7	17.53	cm
exemplary_trees_slide_2_tree	mart1259_verbal/laminar-families/mart1259_verbal_exemplary_trees_slide_2_tree.pdf	16.3632272727273	7.5	in
exemplary_trees_slide_2_evidence	mart1259_verbal/laminar-families/mart1259_verbal_exemplary_trees_slide_2_evidence.pdf	31.1018181818182	7	cm
exemplary_trees_3	mart1259_verbal/laminar-families/mart1259_verbal_exemplary_trees_3.pdf	93.7	17.53	cm
exemplary_trees_slide_3_tree	mart1259_verbal/laminar-families/mart1259_verbal_exemplary_trees_slide_3_tree.pdf	16.3632272727273	7.5	in
exemplary_trees_slide_3_evidence	mart1259_verbal/laminar-families/mart1259_verbal_exemplary_trees_slide_3_evidence.pdf	31.1018181818182	7	cm
exemplary_trees_4	mart1259_verbal/laminar-families/mart1259_verbal_exemplary_trees_4.pdf	93.7	17.53	cm
exemplary_trees_slide_4_tree	mart1259_verbal/laminar-families/mart1259_verbal_exemplary_trees_slide_4_tree.pdf	16.3632272727273	7.5	in
exemplary_trees_slide_4_evidence	mart1259_verbal/laminar-families/mart1259_verbal_exemplary_trees_slide_4_evidence.pdf	31.1018181818182	7	cm
forestspans_plot	mart1259_verbal/pooled/mart1259_verbal_forestspans_plot.pdf	41.7272727272727	24	cm
tree_count_by_class	mart1259_verbal/counts-and-chance/mart1259_verbal_tree_count_by_class.pdf	8	3.8	in
tree_count_bundles	mart1259_verbal/counts-and-chance/mart1259_verbal_tree_count_bundles.pdf	8	3.8	in
tree_count_all	mart1259_verbal/counts-and-chance/mart1259_verbal_tree_count_all.pdf	7	5	in
tree_count_without_adjacent	mart1259_verbal/counts-and-chance/mart1259_verbal_tree_count_without_adjacent.pdf	8	5	in
fragmentation_test_plot	mart1259_verbal/counts-and-chance/mart1259_verbal_fragmentation_test_plot.pdf	10	6.5	in
span_placement_test_by_group_plot	mart1259_verbal/counts-and-chance/mart1259_verbal_span_placement_test_by_group_plot.pdf	11	9	in
arbitrary_layers_test_by_group_plot	mart1259_verbal/counts-and-chance/mart1259_verbal_arbitrary_layers_test_by_group_plot.pdf	11	9	in
boundary_strength_test_jump_all	mart1259_verbal/boundaries/mart1259_verbal_boundary_strength_test_jump_all.pdf	13.5	7	in
boundary_strength_test_level_all	mart1259_verbal/boundaries/mart1259_verbal_boundary_strength_test_level_all.pdf	13.5	7	in
boundary_strength_test_jump_morphosyntactic	mart1259_verbal/boundaries/mart1259_verbal_boundary_strength_test_jump_morphosyntactic.pdf	13.5	7	in
