Element	Position_Name	Position_Number	stressed	obligatory	independence	left-interaction	right-interaction	Comments
also	v:leftedge	1	y	n	y	n	n	
and	v:leftedge	1	both	n	y	n	n	
CONJUNCT	v:leftedge	1	y	n	y	n	n	
then	v:leftedge	1	y	n	y	n	n	
NP{S,A,P}	v:frontedXP	2	y	n	y	n	n	
QWORDS	v:frontedXP	2	y	n	y	n	n	
be	v:frontedauxiliary	3	both	n	y	n	n	
can	v:frontedauxiliary	3	y	n	y	n	n	
could	v:frontedauxiliary	3	y	n	y	n	n	
do	v:frontedauxiliary	3	both	n	y	n	n	
have	v:frontedauxiliary	3	both	n	y	n	n	
may	v:frontedauxiliary	3	y	n	y	n	n	
might	v:frontedauxiliary	3	y	n	y	n	n	
must	v:frontedauxiliary	3	y	n	y	n	n	
ought	v:frontedauxiliary	3	y	n	y	n	n	
shall	v:frontedauxiliary	3	y	n	y	n	n	
should	v:frontedauxiliary	3	y	n	y	n	n	
will	v:frontedauxiliary	3	both	n	y	n	n	
would	v:frontedauxiliary	3	both	n	y	n	n	
[-n]	v:frontedauxiliaryinflection	4	n	n	n	n	n	Interesting ... shouldn’t these be NA for variable 3, since they don’t have the phon. structure to have stress to begin with?
[-s]	v:frontedauxiliaryinflection	4	n	n	n	n	n	
[-v]	v:frontedauxiliaryinflection	4	n	n	n	n	n	
NP{S,A}	v:npsubj1	5	y	n	y	n	n	
S-ADVERBS	v:ad-S1	6	y	n	y	n	n	
AD-VP	v:ad-VP1	7	y	n	y	n	n	
can	v:modal1	8	y	n	y	n	n	
could	v:modal1	8	y	n	y	n	n	
may	v:modal1	8	y	n	y	n	n	
might	v:modal1	8	y	n	y	n	n	
must	v:modal1	8	y	n	y	n	n	
shall	v:modal1	8	y	n	y	n	n	
should	v:modal1	8	y	n	y	n	n	
will	v:modal1	8	both	n	y	n	n	
would	v:modal1	8	both	n	y	n	n	
AD-S	v:sd-S2	9	y	n	y	n	n	
not	v:neg1	10	both	n	y	n	n	
AD-VP	v:ad-VP2	11	y	n	y	n	n	
ha	v:perfect	12	both	n	y	n	n	But interestingly, this part is just completely deleted.
[-s]	v:perfectinflection	13	n	n	y	n	n	
[-ve]	v:perfectinflection	13	n	n	y	n	n	
AD-S	v:ad-S3	14	y	n	y	n	n	
not	v:neg2	15	both	n	y	n	n	
AD-VP	v:ad-VP3	16	y	n	y	n	n	
AD-V	v:ad-V1	17	y	n	y	n	n	
[be-]	v:passive	18	both	n	y	n	n	
