Element	Position_Name	Position_Number	widescope_right	widescope_left	fillable_botheither_conjunct	Comments
also	v:leftedge	1	n	n	y	
and	v:leftedge	1	?	?	?	
CONJUNCT	v:leftedge	1	n	n	n	
then	v:leftedge	1	n	n	y	
NP{S,A,P}	v:frontedXP	2	y	n	n	
QWORDS	v:frontedXP	2	y	y	y	
be	v:frontedauxiliary	3	y	n	n	did martin borrow and read the book? | *did martin borrow and he read the book? | did martin borrow and did martin read the book? | you can do wide scope but not without elided the subj
can	v:frontedauxiliary	3	y	n	y	could martin borrow the book and leo ban it
could	v:frontedauxiliary	3	n	n	n	
do	v:frontedauxiliary	3	y	y	n	
have	v:frontedauxiliary	3	y	n	y	
may	v:frontedauxiliary	3	y	n	y	
might	v:frontedauxiliary	3	n	n	y	
must	v:frontedauxiliary	3	y	n	y	
ought	v:frontedauxiliary	3	y	n	y	
shall	v:frontedauxiliary	3	y	y	y	
should	v:frontedauxiliary	3	n	y	y	
will	v:frontedauxiliary	3	y	n	y	
would	v:frontedauxiliary	3	y	n	y	
[-n]	v:frontedauxiliaryinflection	4	n	n	y	
[-s]	v:frontedauxiliaryinflection	4	y	n	y	
[-v]	v:frontedauxiliaryinflection	4	n	y	y	
NP{S,A}	v:npsubj1	5	y	n	n	
AD-VP	v:ad-VP1	6	y	n	y	martin carefully read the bible and commented on it
can	v:modal1	7	n	n	n	martin can read the bible and write in the vernacular | martin can read the bible and can write in the vernacular
could	v:modal1	7	y	y	y	
may	v:modal1	7	y	n	y	
might	v:modal1	7	y	n	n	
must	v:modal1	7	n	y	y	
shall	v:modal1	7	y	n	y	
should	v:modal1	7	y	n	y	
will	v:modal1	7	y	y	y	
would	v:modal1	7	y	n	y	
AD-S	v:sd-S2	8	y	y	y	martin would presumably eat stew and drink beer
AD-VP	v:ad-VP2	9	y	y	y	
ha	v:perfect	10	n	y	y	martin has eaten stew and drank beer
AD-S	v:ad-S3	11	y	y	y	
not	v:neg2	12	n	n	y	
AD-VP	v:ad-VP3	13	y	n	y	
AD-V	v:ad-V1	14	n	n	n	
[be-]	v:passive	15	n	n	y	
AD-S	v:ad-S4	16	y	n	y	
AD-VP	v:ad-VP4	17	y	y	n	
be	v:progressive	18	y	n	y	
not	v:neg4	19	y	n	n	
AD-VP	v:ad-VP5	20	y	y	y	
air	v:nominal	21	n	n	y	
baby	v:nominal	21	n	n	n	
breast	v:nominal	21	n	y	y	
caretaker	v:nominal	21	n	n	y	
child	v:nominal	21	n	n	n	
cross	v:nominal	21	y	y	y	
dog	v:nominal	21	n	n	n	
eye	v:nominal	21	n	n	y	
fact	v:nominal	21	n	n	y	
grounds	v:nominal	21	n	n	y	
hand	v:nominal	21	n	n	n	
house	v:nominal	21	y	n	y	
lip	v:nominal	21	n	y	y	
name	v:nominal	21	n	n	n	
nanny	v:nominal	21	n	y	y	
pet	v:nominal	21	n	n	y	
pressure	v:nominal	21	n	n	y	
rough	v:nominal	21	n	n	y	
sound	v:nominal	21	n	n	y	
spell	v:nominal	21	y	y	n	
spin	v:nominal	21	n	n	y	
stone	v:nominal	21	n	y	n	
strong	v:nominal	21	n	n	y	
[ab-]	v:latinprefix	22	y	n	y	
[ad-]	v:latinprefix	22	n	n	y	
[ante-]	v:latinprefix	22	n	n	n	
[be-]	v:latinprefix	22	y	n	y	
[cata-]	v:latinprefix	22	n	n	y	
[circum-]	v:latinprefix	22	n	n	y	
[co-]	v:latinprefix	22	y	n	y	
[contra-]	v:latinprefix	22	n	n	y	*contradict and vene
[dia-]	v:latinprefix	22	n	n	y	
[dis-]	v:latinprefix	22	n	n	y	
[down-]	v:latinprefix	22	n	n	y	*downplay and size
[en-]	v:latinprefix	22	n	n	y	
[epi-]	v:latinprefix	22	n	n	n	
[eu-]	v:latinprefix	22	y	n	y	
[ex-]	v:latinprefix	22	y	y	n	
[fore-]	v:latinprefix	22	n	y	y	
[inter-]	v:latinprefix	22	n	n	n	
[intra-]	v:latinprefix	22	n	n	n	
[mis-]	v:latinprefix	22	n	y	y	
[ob-]	v:latinprefix	22	n	n	n	
[para-]	v:latinprefix	22	n	n	y	
[per-]	v:latinprefix	22	y	n	y	
[pro-]	v:latinprefix	22	n	n	y	
[se-]	v:latinprefix	22	n	n	y	
[sub-]	v:latinprefix	22	n	n	y	
[sup-]	v:latinprefix	22	n	n	y	
[sur-]	v:latinprefix	22	n	n	y	
[syn-]	v:latinprefix	22	n	n	n	
[tele-]	v:latinprefix	22	n	n	y	
[up-]	v:latinprefix	22	n	y	y	
ROOT	v:verbroot	23	n	n	y	na
[-ed]	v:verbinflection	24	n	n	n	
[-ing]	v:verbinflection	24	n	n	n	
[-s]	v:verbinflection	24	n	n	n	
NP{P,T}	v:obj-part	25	n	y	n	
VERBPART	v:obj-part	25	n	n	n	cleaned up the kitchen and used the soap | cleaned up the kitchen and used up the soap
Ad-VP	v:ad-VP6	26	y	n	n	
PP	v:PP	27	y	n	y	
AD-S	v:rightedge	28	n	n	n	
