chart	file	width	height	units
pooled_plot	pooled/nyan1308_pooled_plot.pdf	26	66.5	cm
pooled_domainplot	pooled/nyan1308_pooled_domainplot.pdf	26	66.5	cm
pooled_plot_intonational	pooled/nyan1308_pooled_plot_intonational.pdf	25	8.4	cm
pooled_plot_intonational_global_layers	pooled/nyan1308_pooled_plot_intonational_global_layers.pdf	25	8.4	cm
pooled_plot_length	pooled/nyan1308_pooled_plot_length.pdf	25	7	cm
pooled_plot_length_global_layers	pooled/nyan1308_pooled_plot_length_global_layers.pdf	25	7	cm
pooled_plot_morphosyntactic	pooled/nyan1308_pooled_plot_morphosyntactic.pdf	25	7.7	cm
pooled_plot_morphosyntactic_global_layers	pooled/nyan1308_pooled_plot_morphosyntactic_global_layers.pdf	25	7.7	cm
pooled_plot_phonological	pooled/nyan1308_pooled_plot_phonological.pdf	25	14.7	cm
pooled_plot_phonological_global_layers	pooled/nyan1308_pooled_plot_phonological_global_layers.pdf	25	14.7	cm
pooled_plot_tonosegmental	pooled/nyan1308_pooled_plot_tonosegmental.pdf	25	30.8	cm
pooled_plot_tonosegmental_global_layers	pooled/nyan1308_pooled_plot_tonosegmental_global_layers.pdf	25	30.8	cm
boundary_skyline	boundaries/nyan1308_boundary_skyline.pdf	16	11	in
spanchart	laminar-families/nyan1308_spanchart.pdf	14	8	in
morsyn_laminar_forest	laminar-families/nyan1308_morsyn_laminar_forest.pdf	20	14	in
morsyn_tree_01	laminar-families/nyan1308_morsyn_tree_01.pdf	12	8	in
morsyn_tree_02	laminar-families/nyan1308_morsyn_tree_02.pdf	12	8	in
morsyn_tree_03	laminar-families/nyan1308_morsyn_tree_03.pdf	12	8	in
tono_laminar_forest	laminar-families/nyan1308_tono_laminar_forest.pdf	20	14	in
tono_tree_01	laminar-families/nyan1308_tono_tree_01.pdf	12	8	in
tono_tree_02	laminar-families/nyan1308_tono_tree_02.pdf	12	8	in
tono_tree_03	laminar-families/nyan1308_tono_tree_03.pdf	12	8	in
tono_tree_04	laminar-families/nyan1308_tono_tree_04.pdf	12	8	in
tono_tree_05	laminar-families/nyan1308_tono_tree_05.pdf	12	8	in
