span_id	left	right	size	convergence	family_frequency	labels	domain_types	synthetic	span_chart_rank	blend_colour
1-32	1	32	32	0	7	(root)	(synthetic)	True		#000000
3-21	3	21	19	1	3	free occurrence maximal	indeterminate	False	5	#6F99AD
4-15	4	15	12	1	2	free occurrence minimal declarative	indeterminate	False	3	#6F99AD
4-22	4	22	19	1	4	recursion based maximal coordination	morphosyntactic	False	7	#BC3C29
5-15	5	15	11	1	2	recursion based maximal subordination	morphosyntactic	False	2	#BC3C29
9-21	9	21	13	1	4	idiom	indeterminate	False	8	#6F99AD
10-15	10	15	6	2	4	free occurrence minimal imperative|recursion based minimal coordination	indeterminate	False	6	#6F99AD
11-16	11	16	6	1	2	pausing pause	indeterminate	False	4	#6F99AD
12-15	12	15	4	3	7	nonpermutability rigid minimal|segmental consonant deletion consonant deletion|segmental vowel deletion vowel deletion	morphosyntactic|phonological	False	9	#6E6044
12-22	12	22	11	1	1	nonpermutability maximal	morphosyntactic	False	1	#BC3C29
13-15	13	15	3	3	7	deviations allomorphy finiteness|deviations suppletion|deviations suppletion suppletion for number	indeterminate	False	10	#6F99AD
