span_id	left	right	size	convergence	family_frequency	labels	domain_types	synthetic	span_chart_rank	blend_colour
1-28	1	28	28	4	12	segmental consonant insertion final glottalization|segmental syllabification maximal syllabification|suprasegmental tone sandhi maximal tone sandhi|suprasegmental tone spreading maximal mid tone spreading	phonological	False		#20845E
3-15	3	15	13	2	4	segmental consonant dissimilation glottal dissimilation|suprasegmental accent maximal	phonological	False	5	#20845E
4-14	4	14	11	1	4	ciscategorial selection maximal	morphosyntactic	False	4	#BC3C29
4-22	4	22	19	2	5	free occurrence maximal|noninterruption simplex	indeterminate|morphosyntactic	False	8	#966A6B
10-12	10	12	3	4	5	ciscategorial selection minimal|free occurrence minimal|recursion based minimal serial verb|segmental syllabification minimal syllabification	indeterminate|morphosyntactic|phonological	False	6	#6E7367
10-13	10	13	4	1	5	deviations allomorphy	indeterminate	False	7	#6F99AD
10-15	10	15	6	3	6	noninterruption complex|nonpermutability|suprasegmental accent minimal	morphosyntactic|phonological	False	9	#6E6044
10-23	10	23	14	1	3	recursion based maximal serial verb	morphosyntactic	False	3	#BC3C29
10-24	10	24	15	1	3	suprasegmental tone spreading rising tone levelling	phonological	False	2	#20845E
11-14	11	14	4	1	7	suprasegmental tone spreading minimal mid tone spreading	phonological	False	10	#20845E
11-19	11	19	9	1	2	suprasegmental tone sandhi minimal tone sandhi	phonological	False	1	#20845E
