chart	file	width	height	units
pooled_plot	arao1248_verbal/pooled/arao1248_verbal_pooled_plot.pdf	26.63	13.3	cm
pooled_domainplot	arao1248_verbal/pooled/arao1248_verbal_pooled_domainplot.pdf	26.63	13.3	cm
pooled_plot_indeterminate	arao1248_verbal/pooled/arao1248_verbal_pooled_plot_indeterminate.pdf	25	7	cm
pooled_plot_indeterminate_global_layers	arao1248_verbal/pooled/arao1248_verbal_pooled_plot_indeterminate_global_layers.pdf	25	7	cm
pooled_plot_morphosyntactic	arao1248_verbal/pooled/arao1248_verbal_pooled_plot_morphosyntactic.pdf	25	7	cm
pooled_plot_morphosyntactic_global_layers	arao1248_verbal/pooled/arao1248_verbal_pooled_plot_morphosyntactic_global_layers.pdf	25	7	cm
pooled_plot_phonological	arao1248_verbal/pooled/arao1248_verbal_pooled_plot_phonological.pdf	25.63	7	cm
pooled_plot_phonological_global_layers	arao1248_verbal/pooled/arao1248_verbal_pooled_plot_phonological_global_layers.pdf	25.63	7	cm
boundary_skyline	arao1248_verbal/boundaries/arao1248_verbal_boundary_skyline.pdf	16	11	in
spanchart	arao1248_verbal/laminar-families/arao1248_verbal_spanchart.pdf	14	8	in
morsyn_laminar_forest	arao1248_verbal/laminar-families/arao1248_verbal_morsyn_laminar_forest.pdf	20	14	in
morsyn_tree_01	arao1248_verbal/laminar-families/arao1248_verbal_morsyn_tree_01.pdf	12	8	in
morsyn_tree_02	arao1248_verbal/laminar-families/arao1248_verbal_morsyn_tree_02.pdf	12	8	in
phon_laminar_forest	arao1248_verbal/laminar-families/arao1248_verbal_phon_laminar_forest.pdf	20	14	in
phon_tree_01	arao1248_verbal/laminar-families/arao1248_verbal_phon_tree_01.pdf	12	8	in
phon_tree_02	arao1248_verbal/laminar-families/arao1248_verbal_phon_tree_02.pdf	12	8	in
indet_laminar_forest	arao1248_verbal/laminar-families/arao1248_verbal_indet_laminar_forest.pdf	20	14	in
indet_tree_01	arao1248_verbal/laminar-families/arao1248_verbal_indet_tree_01.pdf	12	8	in
morsyn_indet_laminar_forest	arao1248_verbal/laminar-families/arao1248_verbal_morsyn_indet_laminar_forest.pdf	20	14	in
morsyn_indet_tree_01	arao1248_verbal/laminar-families/arao1248_verbal_morsyn_indet_tree_01.pdf	12	8	in
morsyn_indet_tree_02	arao1248_verbal/laminar-families/arao1248_verbal_morsyn_indet_tree_02.pdf	12	8	in
laminar_overlay	arao1248_verbal/laminar-families/arao1248_verbal_laminar_overlay.pdf	20	14	in
laminar_overlay_legend	arao1248_verbal/laminar-families/arao1248_verbal_laminar_overlay_legend.pdf	20	14	in
all_families_labeled	arao1248_verbal/laminar-families/arao1248_verbal_all_families_labeled.pdf	20	14	in
all_families_labeled_legend	arao1248_verbal/laminar-families/arao1248_verbal_all_families_labeled_legend.pdf	20	14	in
freqtree	arao1248_verbal/laminar-families/arao1248_verbal_freqtree.pdf	16	10	in
most_binary_tree	arao1248_verbal/laminar-families/arao1248_verbal_most_binary_tree.pdf	16	10	in
exemplary_trees_1	arao1248_verbal/laminar-families/arao1248_verbal_exemplary_trees_1.pdf	76.6	14.28	cm
exemplary_trees_slide_1_tree	arao1248_verbal/laminar-families/arao1248_verbal_exemplary_trees_slide_1_tree.pdf	13.333	7.5	in
exemplary_trees_slide_1_evidence	arao1248_verbal/laminar-families/arao1248_verbal_exemplary_trees_slide_1_evidence.pdf	25.63	8.4	cm
exemplary_trees_2	arao1248_verbal/laminar-families/arao1248_verbal_exemplary_trees_2.pdf	76	14.28	cm
exemplary_trees_slide_2_tree	arao1248_verbal/laminar-families/arao1248_verbal_exemplary_trees_slide_2_tree.pdf	13.333	7.5	in
exemplary_trees_slide_2_evidence	arao1248_verbal/laminar-families/arao1248_verbal_exemplary_trees_slide_2_evidence.pdf	25	7.7	cm
forestspans_plot	arao1248_verbal/pooled/arao1248_verbal_forestspans_plot.pdf	34	24	cm
tree_count_by_class	arao1248_verbal/counts-and-chance/arao1248_verbal_tree_count_by_class.pdf	8	3.8	in
tree_count_bundles	arao1248_verbal/counts-and-chance/arao1248_verbal_tree_count_bundles.pdf	8	3.8	in
tree_count_all	arao1248_verbal/counts-and-chance/arao1248_verbal_tree_count_all.pdf	7	5	in
tree_count_without_adjacent	arao1248_verbal/counts-and-chance/arao1248_verbal_tree_count_without_adjacent.pdf	8	5	in
fragmentation_test_plot	arao1248_verbal/counts-and-chance/arao1248_verbal_fragmentation_test_plot.pdf	10	6.5	in
span_placement_test_by_group_plot	arao1248_verbal/counts-and-chance/arao1248_verbal_span_placement_test_by_group_plot.pdf	11	9	in
arbitrary_layers_test_by_group_plot	arao1248_verbal/counts-and-chance/arao1248_verbal_arbitrary_layers_test_by_group_plot.pdf	11	9	in
boundary_strength_test_jump_all	arao1248_verbal/boundaries/arao1248_verbal_boundary_strength_test_jump_all.pdf	11	7	in
boundary_strength_test_level_all	arao1248_verbal/boundaries/arao1248_verbal_boundary_strength_test_level_all.pdf	11	7	in
boundary_strength_test_jump_morphosyntactic	arao1248_verbal/boundaries/arao1248_verbal_boundary_strength_test_jump_morphosyntactic.pdf	11	7	in
boundary_strength_test_level_morphosyntactic	arao1248_verbal/boundaries/arao1248_verbal_boundary_strength_test_level_morphosyntactic.pdf	11	7	in
boundary_strength_test_jump_phonological	arao1248_verbal/boundaries/arao1248_verbal_boundary_strength_test_jump_phonological.pdf	11	7	in
boundary_strength_test_level_phonological	arao1248_verbal/boundaries/arao1248_verbal_boundary_strength_test_level_phonological.pdf	11	7	in
boundary_strength_test_jump_indeterminate	arao1248_verbal/boundaries/arao1248_verbal_boundary_strength_test_jump_indeterminate.pdf	11	7	in
boundary_strength_test_level_indeterminate	arao1248_verbal/boundaries/arao1248_verbal_boundary_strength_test_level_indeterminate.pdf	11	7	in
boundary_strength_test_jump_morsyn_indet	arao1248_verbal/boundaries/arao1248_verbal_boundary_strength_test_jump_morsyn_indet.pdf	11	7	in
boundary_strength_test_level_morsyn_indet	arao1248_verbal/boundaries/arao1248_verbal_boundary_strength_test_level_morsyn_indet.pdf	11	7	in
boundary_strength	arao1248_verbal/boundaries/arao1248_verbal_boundary_strength.pdf	11	7	in
boundary_strength_distributions	arao1248_verbal/boundaries/arao1248_verbal_boundary_strength_distributions.pdf	11	5	in
boundary_strength_overlay	arao1248_verbal/boundaries/arao1248_verbal_boundary_strength_overlay.pdf	13	7	in
