Element	Position_Name	Position_Number	widescope_right	widescope_left	fillable_botheither_conjunct	Comments
also	v:leftedge	1	n	n	y	*also martin also tried to unify the reform movement
and	v:leftedge	1	n	y	n	
CONJUNCT	v:leftedge	1	y	n	n	
then	v:leftedge	1	n	n	n	
NP{S,A,P}	v:frontedXP	2	y	n	n	
QWORDS	v:frontedXP	2	y	n	n	
be	v:frontedauxiliary	3	n	y	n	did martin try to unify the reformation
can	v:frontedauxiliary	3	n	n	n	
could	v:frontedauxiliary	3	n	n	n	
do	v:frontedauxiliary	3	n	n	n	
have	v:frontedauxiliary	3	n	y	y	
may	v:frontedauxiliary	3	y	n	n	
might	v:frontedauxiliary	3	n	y	n	
must	v:frontedauxiliary	3	y	n	n	
ought	v:frontedauxiliary	3	n	n	y	
shall	v:frontedauxiliary	3	n	n	n	
should	v:frontedauxiliary	3	n	n	n	
will	v:frontedauxiliary	3	n	y	n	
would	v:frontedauxiliary	3	n	y	n	
[-n]	v:frontedauxiliaryinflection	4	n	y	n	
[-s]	v:frontedauxiliaryinflection	4	y	n	n	
[-v]	v:frontedauxiliaryinflection	4	n	n	n	
NP{S,A}	v:npsubj1	5	y	n	n	
S-ADVERBS	v:ad-S1	6				
AD-VP	v:ad-VP1	7	y	y	y	martin quickly wanted to eat a sausage
can	v:modal1	8	y	n	n	martin can try to eat a sausage | martin can persuade you to go
could	v:modal1	8	y	n	n	
may	v:modal1	8	n	y	n	
might	v:modal1	8	y	n	n	
must	v:modal1	8	n	n	n	
shall	v:modal1	8	y	n	n	
should	v:modal1	8	y	n	n	
will	v:modal1	8	y	n	n	
would	v:modal1	8	n	n	y	
AD-S	v:sd-S2	9	y	n	y	martin would presumably try to eat sausage
not	v:neg1	10	n	n	n	martin would not try to not eat sausage
AD-VP	v:ad-VP2	11	y	n	y	
ha	v:perfect	12	n	n	y	martin has persuaded andreas to have arrived early
[-s]	v:perfectinflection	13	n	y	y	
[-ve]	v:perfectinflection	13	y	n	y	
AD-S	v:ad-S3	14	n	n	y	martin had unfortunately persuaded andres to have arrived early
not	v:neg2	15	n	n	n	
AD-VP	v:ad-VP3	16	n	y	y	
AD-V	v:ad-V1	17	n	n	n	
[be-]	v:passive	18	?	?	y	martin was persuaded to
AD-S	v:ad-S4	19	n	n	y	
not	v:neg3	20	y	y	n	
AD-VP	v:ad-VP4	21	y	n	y	
be	v:progressive	22	n	n	y	martin is persuading andres to read his book
AD-S	v:ad-S5	23	n	n	y	
not	v:neg4	24	y	n	y	
AD-VP	v:ad-VP5	25	n	n	y	
AD-V	v:ad-V2	26	y	n	y	
air	v:nominal	27	y	y	n	
baby	v:nominal	27	n	n	y	
breast	v:nominal	27	n	n	n	
caretaker	v:nominal	27	n	y	n	
child	v:nominal	27	n	n	y	
cross	v:nominal	27	y	y	y	
dog	v:nominal	27	n	n	n	
eye	v:nominal	27	n	n	y	
fact	v:nominal	27	n	n	y	
grounds	v:nominal	27	n	y	n	
hand	v:nominal	27	y	n	y	
house	v:nominal	27	n	n	y	
lip	v:nominal	27	y	n	y	
name	v:nominal	27	n	n	n	
nanny	v:nominal	27	n	n	y	
pet	v:nominal	27	n	n	y	
pressure	v:nominal	27	n	y	y	
rough	v:nominal	27	n	n	y	
sound	v:nominal	27	n	n	y	
spell	v:nominal	27	n	y	y	
spin	v:nominal	27	n	n	n	
stone	v:nominal	27	y	n	y	
strong	v:nominal	27	n	n	n	
