Element	Position_Name	Position_Number	stressable	independence	left-interaction	right-interaction	Comments
also	v:leftedge	1	y	y	n		
and	v:leftedge	1	both	y	n		
CONJUNCT	v:leftedge	1	y	y	n		
then	v:leftedge	1	y	y	n		
NP{S,A,P}	v:frontedXP	2	y	y	n		
QWORDS	v:frontedXP	2	y	y	n		
be	v:frontedauxiliary	3	both	y	n		
can	v:frontedauxiliary	3	y	y	n		
could	v:frontedauxiliary	3	y	y	n		
do	v:frontedauxiliary	3	both	y	n		
have	v:frontedauxiliary	3	both	y	n		
may	v:frontedauxiliary	3	y	y	n		
might	v:frontedauxiliary	3	y	y	n		
must	v:frontedauxiliary	3	y	y	n		
ought	v:frontedauxiliary	3	y	y	n		
shall	v:frontedauxiliary	3	y	y	n		
should	v:frontedauxiliary	3	y	y	n		
will	v:frontedauxiliary	3	both	y	n		
would	v:frontedauxiliary	3	both	y	n		
[-n]	v:frontedauxiliaryinflection	4	n	n	n		Interesting ... shouldn’t these be NA for variable 3, since they don’t have the phon. structure to have stress to begin with?
[-s]	v:frontedauxiliaryinflection	4	n	n	n		
[-v]	v:frontedauxiliaryinflection	4	n	n	n		
NP{S,A}	v:npsubj1	5	y	y	n		
S-ADVERBS	v:ad-S1	6	y	y	n		
AD-VP	v:ad-VP1	7	y	y	n		
can	v:modal1	8	y	y	n		
could	v:modal1	8	y	y	n		
may	v:modal1	8	y	y	n		
might	v:modal1	8	y	y	n		
must	v:modal1	8	y	y	n		
shall	v:modal1	8	y	y	n		
should	v:modal1	8	y	y	n		
will	v:modal1	8	both	y	n		
would	v:modal1	8	both	y	n		
AD-S	v:sd-S2	9	y	y	n		
not	v:neg1	10	both	y	n		
AD-VP	v:ad-VP2	11	y	y	n		
ha	v:perfect	12	both	y	n		But interestingly, this part is just completely deleted.
[-s]	v:perfectinflection	13	n	y	n		
[-ve]	v:perfectinflection	13	n	y	n		
AD-S	v:ad-S3	14	y	y	n		
not	v:neg2	15	both	y	n		
AD-VP	v:ad-VP3	16	y	y	n		
AD-V	v:ad-V1	17	y	y	n		
[be-]	v:passive	18	both	y	n		
AD-S	v:ad-S4	19	y	y	n		
not	v:neg3	20	both	y	n		
AD-VP	v:ad-VP4	21	y	y	n		
be	v:progressive	22	both	y	n		
AD-S	v:ad-S5	23	y	y	n		
not	v:neg4	24	both	y	n		
AD-VP	v:ad-VP5	25	y	y	n		
AD-V	v:ad-V2	26	y	y	n		
air	v:nominal	27	y	n	n	y	
baby	v:nominal	27	y	n	n	y	
breast	v:nominal	27	y	n	n	y	
caretaker	v:nominal	27	y	n	n	y	
child	v:nominal	27	y	n	n	y	
cross	v:nominal	27	y	n	n	y	
dog	v:nominal	27	y	n	n	y	
eye	v:nominal	27	y	n	n	y	
fact	v:nominal	27	y	n	n	y	
grounds	v:nominal	27	y	n	n	y	
hand	v:nominal	27	y	n	n	y	
house	v:nominal	27	y	n	n	y	
lip	v:nominal	27	y	n	n	y	
name	v:nominal	27	y	n	n	y	
nanny	v:nominal	27	y	n	n	y	
pet	v:nominal	27	y	n	n	y	
pressure	v:nominal	27	y	n	n	y	
rough	v:nominal	27	y	n	n	y	
sound	v:nominal	27	y	n	n	y	
spell	v:nominal	27	y	n	n	y	
spin	v:nominal	27	y	n	n	y	
stone	v:nominal	27	y	n	n	y	
strong	v:nominal	27	y	n	n	y	
[de-]	v:productiveprefix	28	both	n	n	n	
[dis-]	v:productiveprefix	28	n	n	n		
[mis-]	v:productiveprefix	28	n	n	n		
[out-]	v:productiveprefix	28	n	n	n		
[over-]	v:productiveprefix	28	n	n	n		
[post-]	v:productiveprefix	28	n	n	n		
[pre-]	v:productiveprefix	28	y	n	n		
[re-]	v:productiveprefix	28	n	n	n		
[un-]	v:productiveprefix	28	n	n	n		
[under-]	v:productiveprefix	28	n	n	n		
[ab-]	v:latinprefix	29	n	n	n	y	
[ad-]	v:latinprefix	29	n	n	n		
[ante-]	v:latinprefix	29	n	n	n		
[be-]	v:latinprefix	29	n	n	n		
[cata-]	v:latinprefix	29	n	n	n		
[circum-]	v:latinprefix	29	n	n	n		
[co-]	v:latinprefix	29	n	n	n		
[contra-]	v:latinprefix	29	y	n	n		
[dia-]	v:latinprefix	29	n	n	n		
[dis-]	v:latinprefix	29	n	n	n		
[down-]	v:latinprefix	29	y	n	n		
[en-]	v:latinprefix	29	n	n	n		
[epi-]	v:latinprefix	29	n	n	n		
[eu-]	v:latinprefix	29	n	n	n		
[ex-]	v:latinprefix	29	n	n	n		
[fore-]	v:latinprefix	29	n	n	n		
[inter-]	v:latinprefix	29	n	n	n		
[intra-]	v:latinprefix	29	n	n	n		
[mis-]	v:latinprefix	29	n	n	n		
[ob-]	v:latinprefix	29	n	n	n		
[para-]	v:latinprefix	29	y	n	n		
[per-]	v:latinprefix	29	n	n	n		
[pro-]	v:latinprefix	29	n	n	n		
[se-]	v:latinprefix	29	n	n	n		
[sub-]	v:latinprefix	29	n	n	n		
[sup-]	v:latinprefix	29	n	n	n		
[sur-]	v:latinprefix	29	n	n	n		
[syn-]	v:latinprefix	29	n	n	n		
[tele-]	v:latinprefix	29	n	n	n		
[up-]	v:latinprefix	29	n	n	n		
ROOT	v:verbroot	30	y	?	y	na	
[-ed]	v:verbinflection	31	n	n			
[-ing]	v:verbinflection	31	n	n			
[-s]	v:verbinflection	31	n	n			
Ad-V	v:ad-V3	32	y	y			
NP{P,T}	v:obj-part	33	y	y			
VERBPART	v:obj-part	33	n	n			
NP{R}	v:rec	34	y	y			
Ad-VP	v:ad-VP6	35	y	y			
PP	v:PP	36	y	y			
AD-S	v:rightedge	37	y	y			
