Element	Position_Name	Position_Number	widescope_right	widescope_left	fillable_botheither_conjunct			Anomoly
also	v:leftedge	1	n	n	n	*Also Martin also tried to unify the reform movement		
and	v:leftedge	1	n	n	n			
CONJUNCT	v:leftedge	1	n	n	n			
then	v:leftedge	1	n	n	n			
QWORDS, NP{S,A,P}	v:frontedXP	2	n	n	n	*Who tried to who ...		
be	v:frontedauxiliary	3	n	n	n	Did Martin try to unify the reformation		
can	v:frontedauxiliary	3	n	n	n			
could	v:frontedauxiliary	3	n	n	n			
do	v:frontedauxiliary	3	n	n	n			
have	v:frontedauxiliary	3	n	n	n			
may	v:frontedauxiliary	3	n	n	n			
might	v:frontedauxiliary	3	n	n	n			
must	v:frontedauxiliary	3	n	n	n			
ought	v:frontedauxiliary	3	n	n	n			
shall	v:frontedauxiliary	3	n	n	n			
should	v:frontedauxiliary	3	n	n	n			
will	v:frontedauxiliary	3	n	n	n			
would	v:frontedauxiliary	3	n	n	n			
[-n]	v:frontedauxiliaryinflection	4	n	n	n			
[-s]	v:frontedauxiliaryinflection	4	n	n	n			
[-v]	v:frontedauxiliaryinflection	4	n	n	n			
NP{S,A}	v:npsubj1	5	y	n	n			Perhaps we should clarify that in this case the scope is obligatory.
AD-S	v:ad-S1	6	n	n	y	Martin apparently wanted to eat a sausage		
AD-VP	v:ad-VP1	7	y	n	y	Martin quickly wanted to eat a sausage		
can	v:modal1	8	y	n	n	Martin can try to eat a sausage	Martin can persuade you to go	
could	v:modal1	8	y	n	n			
may	v:modal1	8	y	n	n			
might	v:modal1	8	y	n	n			
must	v:modal1	8	y	n	n			
shall	v:modal1	8	y	n	n			
should	v:modal1	8	y	n	n			
will	v:modal1	8	y	n	n			
would	v:modal1	8	y	n	n			
AD-S	v:sd-S2	9	y	n	y	Martin would presumably try to eat sausage		
not	v:neg1	10	n	n	y	Martin would not try to not eat sausage		
AD-VP	v:ad-VP2	11	n	n	y			
ha	v:perfect	12	n	n	y	Martin has persuaded Andreas to have arrived early		Its a little hard to tell, because perfect readings are subtle and because there seems to be something else semantically wrong with all the sentences
[-s]	v:perfectinflection	13	n	n	y			
[-ve]	v:perfectinflection	13	n	n	y			
AD-S	v:ad-S3	14	n	n	y	Martin had unfortunately persuaded Andres to have arrived early		
not	v:neg2	15	n	n	y			
AD-VP	v:ad-VP3	16	n	n	y			
AD-V	v:ad-V1	17	n	n	y			
[be-]	v:passive	18	?	?	y	Martin was persuaded to		
AD-S	v:ad-S4	19	n	n	y			
not	v:neg3	20	n	n	y			
AD-VP	v:ad-VP4	21	n	n	y			
be	v:progressive	22	n	n	y	Martin is persuading Andres to read his book		
AD-S	v:ad-S5	23	n	n	y			
not	v:neg4	24	n	n	y			
AD-VP	v:ad-VP5	25	n	n	y			
AD-V	v:ad-V2	26	n	n	y			
air	v:nominal	27	n	n	y			
baby	v:nominal	27	n	n	y			
breast	v:nominal	27	n	n	y			
caretaker	v:nominal	27	n	n	y			
child	v:nominal	27	n	n	y			
cross	v:nominal	27	n	n	y			
dog	v:nominal	27	n	n	y			
eye	v:nominal	27	n	n	y			
fact	v:nominal	27	n	n	y			
grounds	v:nominal	27	n	n	y			
hand	v:nominal	27	n	n	y			
house	v:nominal	27	n	n	y			
lip	v:nominal	27	n	n	y			
name	v:nominal	27	n	n	y			
nanny	v:nominal	27	n	n	y			
pet	v:nominal	27	n	n	y			
pressure	v:nominal	27	n	n	y			
rough	v:nominal	27	n	n	y			
sound	v:nominal	27	n	n	y			
spell	v:nominal	27	n	n	y			
spin	v:nominal	27	n	n	y			
stone	v:nominal	27	n	n	y			
strong	v:nominal	27	n	n	y			
[de-]	v:productiveprefix	28	n	n	y			
[dis-]	v:productiveprefix	28	n	n	y			
[mis-]	v:productiveprefix	28	n	n	y			
[out-]	v:productiveprefix	28	n	n	y			
[over-]	v:productiveprefix	28	n	n	y			
[post-]	v:productiveprefix	28	n	n	y			
[pre-]	v:productiveprefix	28	n	n	y			
[re-]	v:productiveprefix	28	n	n	y			
[un-]	v:productiveprefix	28	n	n	y			
[under-]	v:productiveprefix	28	n	n	y			
[ab-]	v:latinprefix	29	n	n	y			
[ad-]	v:latinprefix	29	n	n	y			
[ante-]	v:latinprefix	29	n	n	y			
[be-]	v:latinprefix	29	n	n	y			
[cata-]	v:latinprefix	29	n	n	y			
[circum-]	v:latinprefix	29	n	n	y			
[co-]	v:latinprefix	29	n	n	y			
[contra-]	v:latinprefix	29	n	n	y			
[dia-]	v:latinprefix	29	n	n	y			
[dis-]	v:latinprefix	29	n	n	y			
[down-]	v:latinprefix	29	n	n	y			
[en-]	v:latinprefix	29	n	n	y			
[epi-]	v:latinprefix	29	n	n	y			
[eu-]	v:latinprefix	29	n	n	y			
[ex-]	v:latinprefix	29	n	n	y			
[fore-]	v:latinprefix	29	n	n	y			
[inter-]	v:latinprefix	29	n	n	y			
[intra-]	v:latinprefix	29	n	n	y			
[mis-]	v:latinprefix	29	n	n	y			
[ob-]	v:latinprefix	29	n	n	y			
[para-]	v:latinprefix	29	n	n	y			
[per-]	v:latinprefix	29	n	n	y			
[pro-]	v:latinprefix	29	n	n	y			
[se-]	v:latinprefix	29	n	n	y			
[sub-]	v:latinprefix	29	n	n	y			
[sup-]	v:latinprefix	29	n	n	y			
[sur-]	v:latinprefix	29	n	n	y			
[syn-]	v:latinprefix	29	n	n	y			
[tele-]	v:latinprefix	29	n	n	y			
[up-]	v:latinprefix	29	n	n	y			
ROOT	v:verbroot	30	n	n	y			
[-ed]	v:verbinflection	31	n	n	y			
[-ing]	v:verbinflection	31	n	n	y			
[-s]	v:verbinflection	31	n	n	y			
Ad-V	v:ad-V3	32	n	n	y			
NP{P,T}, VERBPART	v:NP{P,T}	33	n	n	y			
NP{R}	v:NP{R}	34	n	n	y			
Ad-VP	v:ad-VP6	35	n	n	y			
PP	v:PP	36	n	n	y			
AD-S	v:rightedge	37	n	n	y			
